# Interpolated propeller performance at 30 N (required) and 11 N (target)
# SI units: Thrust=N, Power=W, Torque=Nm; Cp, Ct, FOM dimensionless; 
# Sorted by Power at required thrust (ascending)
# ---------------------------------------------------------------------------

     Propeller  RPM@30N  Thrust@30N (N)  Power@30N (W)  Torque@30N (Nm)     Cp@30N     Ct@30N    FOM@30N  Eff@30N (N/W)  RPM@11N  Thrust@11N (N)  Power@11N (W)  Torque@11N (Nm)     Cp@11N     Ct@11N    FOM@11N  Eff@11N (N/W)
   12x45MRF-RH    10673         30.5000       528.3460           0.4711     0.0290     0.0909     0.7554         0.0581     6472              11       119.6550           0.1748     0.0291     0.0888     0.7252         0.0935
       12x7E-3     8438         30.5000       528.5090           0.5943     0.0583     0.1452     0.7566         0.0583     5103              11       119.2170           0.2211     0.0593     0.1432     0.7281         0.0932
        12x6SF     8451         30.5000       528.6450           0.5932     0.0580     0.1447     0.7574         0.0583     5110              11       115.8750           0.2144     0.0574     0.1428     0.7503         0.0960
       12x55MR     9809         30.5000       529.5180           0.5137     0.0374     0.1077     0.7540         0.0579     5944              11       118.7290           0.1898     0.0376     0.1057     0.7294         0.0930
         14x12     6764         30.5000       531.2370           0.7447     0.0526     0.1219     0.6456         0.0580     4074              11       119.5710           0.2782     0.0541     0.1211     0.6209         0.0931
        14x12N     6993         30.5000       538.5600           0.7358     0.0488     0.1145     0.6330         0.0567     4195              11       123.1710           0.2750     0.0503     0.1137     0.6083         0.0915
   12x6EP(F2B)    10441         30.5000       542.5590           0.4938     0.0316     0.0950     0.7362         0.0566     6327              11       123.1860           0.1837     0.0320     0.0929     0.7063         0.0906
         12x6E    10448         30.5000       542.7940           0.4939     0.0316     0.0948     0.7362         0.0566     6332              11       123.1850           0.1837     0.0320     0.0928     0.7053         0.0906
          12x6    10031         30.5000       543.9120           0.5174     0.0360     0.1031     0.7322         0.0561     6086              11       124.3480           0.1940     0.0367     0.1008     0.6960         0.0889
          12x5    11245         30.5000       544.9530           0.4613     0.0255     0.0819     0.7327         0.0562     6855              11       125.8310           0.1743     0.0260     0.0794     0.6878         0.0880
