# Interpolated propeller performance at 32 N (required) and 12 N (target)
# SI units: Thrust=N, Power=W, Torque=Nm; Cp, Ct, FOM dimensionless; 
# Sorted by Power at required thrust (ascending)
# ---------------------------------------------------------------------------

     Propeller  RPM@32N  Thrust@32N (N)  Power@32N (W)  Torque@32N (Nm)     Cp@32N     Ct@32N    FOM@32N  Eff@32N (N/W)  RPM@12N  Thrust@12N (N)  Power@12N (W)  Torque@12N (Nm)     Cp@12N     Ct@12N    FOM@12N  Eff@12N (N/W)
       13x45MR     9831              32       524.9230           0.5086     0.0252     0.0829     0.7570         0.0612     6203         12.5000       133.9720           0.2044     0.0254     0.0812     0.7280         0.0943
       13x55MR     9119              32       525.8410           0.5491     0.0316     0.0964     0.7556         0.0611     5737         12.5000       133.4200           0.2197     0.0318     0.0947     0.7311         0.0952
         14x10     7087              32       532.5590           0.7154     0.0461     0.1168     0.6905         0.0604     4427         12.5000       137.2680           0.2889     0.0474     0.1157     0.6630         0.0941
        13x55E     9655              32       533.1010           0.5249     0.0269     0.0859     0.7459         0.0604     6100         12.5000       135.6730           0.2115     0.0272     0.0840     0.7160         0.0927
  13x45EP(F2B)    10593              32       536.2290           0.4812     0.0205     0.0714     0.7421         0.0600     6703         12.5000       137.7460           0.1949     0.0207     0.0695     0.7051         0.0918
       13x45EP    10593              32       536.2290           0.4812     0.0205     0.0714     0.7421         0.0600     6703         12.5000       137.7460           0.1949     0.0207     0.0695     0.7051         0.0918
         16x16     5284              32       540.0450           0.9619     0.0570     0.1225     0.6004         0.0605     3288         12.5000       138.1950           0.3867     0.0585     0.1221     0.5810         0.0952
   13x65E(F2B)     9308              32       540.6020           0.5517     0.0304     0.0924     0.7359         0.0596     5870         12.5000       136.9350           0.2218     0.0307     0.0907     0.7084         0.0921
        14x10F     7164              32       540.6150           0.7169     0.0477     0.1192     0.6886         0.0597     4476         12.5000       137.6700           0.2872     0.0485     0.1181     0.6672         0.0939
         13x4E    11114              32       540.9030           0.4642     0.0180     0.0649     0.7338         0.0593     7052         12.5000       139.8740           0.1889     0.0182     0.0630     0.6936         0.0896
        13x65E     9324              32       541.1070           0.5515     0.0303     0.0921     0.7356         0.0596     5881         12.5000       137.4840           0.2217     0.0306     0.0904     0.7076         0.0917
          13x6     9549              32       541.4160           0.5386     0.0281     0.0875     0.7344         0.0596     6044         12.5000       139.1470           0.2191     0.0286     0.0854     0.6966         0.0901
         13x7F     8820              32       542.7020           0.5856     0.0353     0.1014     0.7299         0.0593     5540         12.5000       138.1960           0.2349     0.0357     0.0997     0.7039         0.0924
         13x4W    10065              32       543.3530           0.5148     0.0239     0.0780     0.7276         0.0590     6364         12.5000       141.9820           0.2109     0.0244     0.0758     0.6835         0.0893
          13x7     9137              32       544.1550           0.5671     0.0319     0.0945     0.7270         0.0590     5753         12.5000       140.0140           0.2303     0.0325     0.0927     0.6923         0.0906
        14x10E     7526              32       546.9020           0.6878     0.0393     0.1033     0.6752         0.0592     4715         12.5000       138.4560           0.2761     0.0400     0.1023     0.6526         0.0925
         14x11     6995              32       548.5260           0.7485     0.0496     0.1201     0.6690         0.0584     4362         12.5000       141.2930           0.3019     0.0509     0.1191     0.6437         0.0914
          13x4    10988              32       550.2300           0.4783     0.0193     0.0675     0.7239         0.0582     6988         12.5000       144.0550           0.1965     0.0196     0.0652     0.6758         0.0868
         135x9     8308              32       552.8370           0.6315     0.0355     0.0982     0.6912         0.0584     5219         12.5000       141.7800           0.2560     0.0364     0.0969     0.6608         0.0896
          13x8     8893              32       555.9450           0.5960     0.0361     0.1013     0.7143         0.0578     5581         12.5000       142.9780           0.2415     0.0369     0.0998     0.6821         0.0893
         125x6     9594              32       558.5810           0.5531     0.0343     0.1002     0.7382         0.0577     6065         12.5000       143.0800           0.2240     0.0348     0.0980     0.7038         0.0877
         13x8E     8825              32       559.1310           0.6032     0.0370     0.1029     0.7109         0.0575     5537         12.5000       142.5310           0.2421     0.0376     0.1015     0.6864         0.0897
        135x10     7813              32       559.1970           0.6802     0.0432     0.1110     0.6827         0.0576     4906         12.5000       142.4110           0.2750     0.0444     0.1099     0.6556         0.0886
       12x58SF    10029              32       559.6520           0.5330     0.0371     0.1082     0.7650         0.0572     6310         12.5000       139.2950           0.2082     0.0365     0.1062     0.7569         0.0912
       12x47SF     9447              32       560.3250           0.5633     0.0441     0.1216     0.7669         0.0576     5961         12.5000       137.9130           0.2208     0.0435     0.1195     0.7579         0.0909
       12x45MR    10813              32       563.6290           0.4967     0.0298     0.0930     0.7601         0.0570     6828         12.5000       143.2480           0.1988     0.0298     0.0909     0.7335         0.0880
   12x45MRF-RH    10931              32       565.6990           0.4938     0.0290     0.0911     0.7567         0.0567     6908         12.5000       143.4020           0.1978     0.0290     0.0890     0.7292         0.0876
       12x7E-3     8640              32       566.6730           0.6229     0.0583     0.1454     0.7578         0.0570     5423         12.5000       144.5540           0.2501     0.0592     0.1434     0.7317         0.0884
       12x55MR    10047              32       567.3250           0.5385     0.0374     0.1078     0.7552         0.0565     6319         12.5000       143.9340           0.2148     0.0375     0.1058     0.7326         0.0881
          13x9     8138              32       567.3800           0.6634     0.0479     0.1210     0.7008         0.0567     5112         12.5000       144.0650           0.2675     0.0488     0.1195     0.6742         0.0877
