# Propeller performance at 17 N required thrust
# Also evaluated at 8 N target thrust
# All units in SI (N, W, Nm, N/W)
# ------------------------------------------------------------

     Propeller  RPM at 17 N  Power at 17 N (W)  Torque at 17 N (Nm)  Efficiency at 17 N (N/W)  RPM at 8 N  Power at 8 N (W)  Torque at 8 N (Nm)  Efficiency at 8 N (N/W)
        925x60        13503           320.8600               0.2264                    0.0532        9548          116.1700              0.1156                   0.0728
          9x5F        13647           321.5600               0.2244                    0.0531        9664          115.2500              0.1132                   0.0734
          9x65        12029           321.6900               0.2554                    0.0529        8481          115.9900              0.1296                   0.0731
         11x12         7950           326.4500               0.3912                    0.0522        5575          116.9600              0.1975                   0.0733
        9x75SF         9957           328.7600               0.3150                    0.0518        7014          114.9000              0.1561                   0.0732
          9x3N        17772           328.9700               0.1766                    0.0518       12745          122.1700              0.0912                   0.0689
        8x38SF        14456           329.8700               0.2174                    0.0517       10232          115.7100              0.1075                   0.0730
        8x41SF        15079           329.3200               0.2086                    0.0517       10665          115.5600              0.1030                   0.0731
           9x7        12152           332.3800               0.2608                    0.0513        8572          119.5700              0.1323                   0.0709
          7x9E        17217           332.4500               0.1841                    0.0512       12282          121.7900              0.0943                   0.0692
        11x12E         7588           336.8100               0.4207                    0.0511        5331          119.6900              0.2111                   0.0717
          9x75        11798           337.4000               0.2727                    0.0505        8312          121.1100              0.1381                   0.0699
         9x75E        11235           338.0900               0.2864                    0.0505        7923          119.9600              0.1440                   0.0702
        8x47SF        13488           338.4100               0.2390                    0.0504        9526          118.4000              0.1181                   0.0715
         10x10         9361           343.6600               0.3488                    0.0498        6581          122.8500              0.1762                   0.0694
          8x4E        15939           341.5000               0.2044                    0.0498       11293          122.2200              0.1029                   0.0690
          9x6N        14925           341.9400               0.2189                    0.0498       10552          124.0900              0.1118                   0.0681
        8x45MR        15220           343.5300               0.2151                    0.0496       10767          122.2800              0.1080                   0.0690
        10x10E         9486           347.1800               0.3477                    0.0494        6672          123.3300              0.1746                   0.0691
         11x13         7945           347.9500               0.4174                    0.0490        5571          124.5200              0.2104                   0.0689
          78x4        17789           348.8600               0.1870                    0.0488       12662          126.9000              0.0953                   0.0664
           8x4        16947           348.8500               0.1966                    0.0488       12052          126.2400              0.1000                   0.0666
       875x70N        13820           353.1500               0.2435                    0.0482        9745          126.6200              0.1237                   0.0667
           9x8        11921           352.9500               0.2823                    0.0482        8392          126.4400              0.1428                   0.0670
           8x5        16017           355.4200               0.2118                    0.0478       11342          128.0700              0.1075                   0.0659
