Propeller,RPM@32N,Thrust@32N (N),Power@32N (W),Torque@32N (Nm),Cp@32N,Ct@32N,FOM@32N,Eff@32N (N/W),RPM@12N,Thrust@12N (N),Power@12N (W),Torque@12N (Nm),Cp@12N,Ct@12N,FOM@12N,Eff@12N (N/W)
16x55MR,6484,32,427.985,0.6232,0.0245,0.08139,0.75536,0.076025,4085,12.5,108.607,0.2512,0.02497,0.08023,0.72719,0.116557
17x10E,5364,32,430.251,0.7539,0.03243,0.09422,0.71227,0.076072,3348,12.5,110.857,0.3039,0.03319,0.09334,0.68492,0.118795
17x10N,5362,32,430.776,0.7551,0.03203,0.09322,0.70898,0.075916,3349,12.5,111.9,0.3075,0.03319,0.09224,0.67402,0.117638
17x4W,6497,32,434.508,0.6312,0.01855,0.06435,0.70195,0.074785,4104,12.5,114.159,0.2625,0.01935,0.06305,0.6526,0.110982
16x6E,6977,32,435.497,0.5955,0.0203,0.07069,0.73772,0.073574,4373,12.5,113.17,0.2419,0.02085,0.06945,0.70171,0.114019
17x12W,4700,32,435.538,0.8699,0.04865,0.12255,0.7034,0.075419,2955,12.5,109.839,0.3521,0.05009,0.12168,0.67675,0.115296
16x8,5954,32,436.726,0.6991,0.03281,0.09707,0.73545,0.073519,3721,12.5,113.57,0.2843,0.03375,0.09576,0.70031,0.114355
16x7,6255,32,437.731,0.6617,0.028,0.08758,0.73806,0.074086,3943,12.5,111.908,0.2702,0.02885,0.08618,0.70047,0.112646
16x7E(3D),6551,32,437.939,0.6316,0.02434,0.07973,0.73851,0.074255,4125,12.5,112.227,0.2557,0.02486,0.07855,0.706,0.113275
16x6,6593,32,439.454,0.6298,0.02394,0.07872,0.73512,0.073923,4154,12.5,113.974,0.2582,0.02472,0.07736,0.69324,0.111796
16x8E,6299,32,442.325,0.6634,0.0277,0.08631,0.73069,0.073418,3971,12.5,111.457,0.268,0.02822,0.08519,0.70241,0.112684
18x14,4876,32,446.604,0.8676,0.03356,0.09006,0.64251,0.07255,3053,12.5,114.018,0.3531,0.03485,0.08961,0.61495,0.111222
17x13,4780,32,448.697,0.8847,0.04793,0.11879,0.68058,0.072789,3007,12.5,112.879,0.3582,0.04939,0.1181,0.65512,0.110972
17x12E,5183,32,450.801,0.8215,0.03796,0.10119,0.67728,0.07212,3232,12.5,115.956,0.3307,0.03884,0.10047,0.65349,0.112756
16x10,5590,32,451.855,0.7605,0.04022,0.10935,0.71749,0.072334,3489,12.5,117.206,0.3083,0.04141,0.10824,0.68628,0.112278
15x55MR,7135,32,451.902,0.6017,0.0271,0.08738,0.76095,0.071282,4471,12.5,115.641,0.2414,0.02746,0.08604,0.73412,0.111732
205x205E(CD),3325,32,452.06,1.2479,0.05091,0.10906,0.5646,0.074777,2083,12.5,113.658,0.5003,0.05211,0.10872,0.54916,0.115489
16x4W,7150,32,453.991,0.6036,0.0196,0.06721,0.70896,0.070966,4496,12.5,120.483,0.2499,0.0204,0.0657,0.65939,0.106803
16x4E,8157,32,455.557,0.5313,0.0133,0.05168,0.70672,0.07062,5153,12.5,119.667,0.2193,0.01367,0.05045,0.65976,0.105742
16x10E,5945,32,456.084,0.7306,0.03431,0.09727,0.70545,0.070455,3708,12.5,117.454,0.2942,0.03513,0.09631,0.67875,0.110865
15x7,6898,32,464.294,0.6407,0.03091,0.09353,0.73887,0.06929,4325,12.5,120.802,0.2606,0.03171,0.09196,0.70217,0.106591
15x6E,7709,32,464.979,0.5723,0.02203,0.07473,0.73938,0.069499,4860,12.5,118.932,0.2318,0.02246,0.07336,0.70561,0.106536
15x6,7260,32,466.0,0.6086,0.0264,0.08428,0.73786,0.069373,4562,12.5,121.623,0.2484,0.02716,0.08268,0.69824,0.105839
155x12-4,4589,32,467.267,0.9521,0.08457,0.17894,0.71368,0.070528,2877,12.5,118.706,0.3869,0.08942,0.18091,0.68694,0.108949
15x7E,7307,32,467.835,0.6065,0.026,0.08312,0.73546,0.069169,4587,12.5,120.303,0.2449,0.02647,0.08183,0.7048,0.107011
15x8,6604,32,471.294,0.6744,0.03534,0.10162,0.73104,0.068947,4153,12.5,120.818,0.2737,0.03621,0.10018,0.6986,0.105546
15x8E,7029,32,472.052,0.6403,0.0298,0.09022,0.72621,0.067902,4397,12.5,121.601,0.2581,0.03034,0.08896,0.69756,0.106316
16x12,5396,32,474.677,0.8264,0.04688,0.1173,0.68356,0.068958,3364,12.5,122.376,0.3342,0.0483,0.11651,0.65655,0.107706
15x4E,9024,32,478.567,0.5063,0.0143,0.05471,0.71527,0.066921,5697,12.5,125.324,0.208,0.01466,0.05331,0.67055,0.101397
15x4W,8013,32,479.215,0.5708,0.0204,0.06941,0.71515,0.066814,5063,12.5,125.345,0.2359,0.02107,0.06783,0.66719,0.100318
14x55MR,8043,32,484.492,0.5745,0.0288,0.09073,0.7573,0.066171,5064,12.5,122.47,0.2305,0.02909,0.08933,0.7317,0.102746
14x47SF,7386,32,485.649,0.6224,0.03688,0.10721,0.76016,0.06675,4636,12.5,121.557,0.2451,0.03664,0.10565,0.74818,0.105991
15x10,6292,32,485.917,0.7298,0.04214,0.11198,0.70934,0.066819,3959,12.5,123.071,0.2957,0.04325,0.11088,0.68109,0.102259
16x12E,5748,32,487.089,0.801,0.04015,0.10362,0.66324,0.066753,3581,12.5,125.037,0.3219,0.04113,0.10287,0.64072,0.105031
16x13,5347,32,487.658,0.8572,0.0495,0.11944,0.66578,0.067064,3332,12.5,125.584,0.3462,0.05104,0.1188,0.64031,0.104947
